institution_name,OPEID,conference1
Abilene Christian University,353700,WAC
Alabama A & M University,100200,SWAC
Alabama State University,100500,SEC
Alcorn State University,239600,SWAC
American University,143400,Patriot
Appalachian State University,290600,Sun Belt
Arizona State University Campus Immersion,108100,Big 12
Arkansas State University,109000,Sun Belt
Auburn University,100900,SEC
Austin Peay State University,347800,ASUN
Ball State University,178600,Mid-American
Baylor University,354500,Big 12
Bellarmine University,195400,ASUN
Belmont University,347900,MVC
Bethune-Cookman University,146700,SWAC
Binghamton University,283600,America East
Boise State University,161600,Mountain West
Boston College,212800,ACC
Boston University,213000,Patriot
Bowling Green State University-Main Campus,301800,Mid-American
Bradley University,164100,MVC
Brigham Young University,367000,Big 12
Brown University,340100,Ivy League
Bryant University,340200,America East
Bucknell University,323800,Patriot
Butler University,178800,Big East
California Baptist University,112500,WAC
California Polytechnic State University-San Luis Obispo,114300,Big West
California State University-Bakersfield,799300,Big West
California State University-Fresno,114700,Mountain West
California State University-Fullerton,113700,Big West
California State University-Long Beach,113900,Big West
California State University-Northridge,115300,Big West
California State University-Sacramento,115000,SWAC
Campbell University,291300,CAA
Canisius University,268100,MAAC
Central Connecticut State University,137800,NEC
Central Michigan University,224300,Mid-American
Charleston Southern University,341900,Big South
Chicago State University,169400,NEC
Citadel Military College of South Carolina,342300,SEC
Clemson University,342500,ACC
Cleveland State University,303200,Horizon
Coastal Carolina University,345100,Sun Belt
Colgate University,270100,Patriot
College of Charleston,342800,CAA
College of the Holy Cross,214100,Patriot
Colorado State University-Fort Collins,135000,Mountain West
Columbia University in the City of New York,270700,Ivy League
Coppin State University,206800,MEAC
Cornell University,271100,Ivy League
Creighton University,254200,Big East
Dartmouth College,257300,Ivy League
Davidson College,291800,Atlantic 10
DePaul University,167100,Big East
Delaware State University,142800,CUSA
Drake University,186000,MVC
Drexel University,325600,CAA
Duke University,292000,ACC
Duquesne University,325800,Atlantic 10
East Carolina University,292300,American Athletic
East Tennessee State University,348700,SoCon
Eastern Illinois University,167400,OVC
Eastern Kentucky University,196300,SEC
Eastern Michigan University,225900,Mid-American
