institution_name,OPEID,conference,short_name
Boston College,212800,ACC,Boston College
Clemson University,342500,ACC,Clemson
Duke University,292000,ACC,Duke
Florida State University,148900,ACC,Florida State
Georgia Institute of Technology-Main Campus,156900,ACC,Georgia Tech
North Carolina State University at Raleigh,297200,ACC,NC State
Saint Mary's College of California,130200,WCC,Saint Mary's
Southern Methodist University,361300,ACC,SMU
Stanford University,130500,ACC,Stanford
Syracuse University,288200,ACC,Syracuse
University of California-Berkeley,131200,ACC,Cal
University of Louisville,199900,ACC,Louisville
University of Miami,153600,ACC,Miami (FL)
University of North Carolina Asheville,290700,Big South,UNC Asheville
University of North Carolina Wilmington,298400,CAA,UNCW
University of North Carolina at Chapel Hill,297400,ACC,North Carolina
University of North Carolina at Greensboro,297600,SoCon,UNC Greensboro
University of Pittsburgh-Pittsburgh Campus,337900,ACC,Pitt
University of Virginia-Main Campus,374500,ACC,Virginia
Virginia Polytechnic Institute and State University,375400,ACC,Virginia Tech
Wake Forest University,297800,ACC,Wake Forest
Binghamton University,283600,America East,Binghamton
Bryant University,340200,America East,Bryant
New Jersey Institute of Technology,262100,America East,NJIT
University of Maine,205300,America East,Maine
University of Maryland-Baltimore County,210500,America East,UMBC
University of Massachusetts-Lowell,216100,America East,UMass Lowell
University of New Hampshire-Main Campus,258900,America East,New Hampshire
University of Vermont,369600,America East,Vermont
Queens University of Charlotte,295700,ASUN,Queens (NC)
Wichita State University,195000,American Athletic,Wichita State
East Carolina University,292300,American Athletic,East Carolina
Florida Atlantic University,148100,American Athletic,Florida Atlantic
Rice University,360400,American Athletic,Rice
Temple University,337100,American Athletic,Temple
Tulane University of Louisiana,202900,American Athletic,Tulane
University of Alabama at Birmingham,105200,American Athletic,UAB
University of Memphis,350900,American Athletic,Memphis
University of North Carolina at Charlotte,297500,American Athletic,Charlotte
University of North Texas,359400,American Athletic,North Texas
University of South Florida,153700,American Athletic,South Florida
University of Tulsa,318500,American Athletic,Tulsa
Austin Peay State University,347800,ASUN,Austin Peay
Bellarmine University,195400,ASUN,Bellarmine
Florida Gulf Coast University,3255300,ASUN,FGCU
Jacksonville University,149500,ASUN,Jacksonville
Lipscomb University,348600,ASUN,Lipscomb
Stetson University,153100,ASUN,Stetson
University of North Alabama,101600,ASUN,North Alabama
Davidson College,291800,Atlantic 10,Davidson
Duquesne University,325800,Atlantic 10,Duquesne
Fordham University,272200,Atlantic 10,Fordham
George Mason University,374900,Atlantic 10,George Mason
George Washington University,144400,Atlantic 10,George Washington
La Salle University,328700,Atlantic 10,La Salle
Saint Joseph's University,336700,Atlantic 10,Saint Joseph's
Saint Louis University,250600,Atlantic 10,Saint Louis
University of Dayton,312700,Atlantic 10,Dayton
University of Rhode Island,341400,Atlantic 10,Rhode Island
University of Richmond,374400,Atlantic 10,Richmond
Virginia Commonwealth University,373500,Atlantic 10,VCU
Arizona State University Campus Immersion,108100,Big 12,Arizona State
Baylor University,354500,Big 12,Baylor
Brigham Young University,367000,Big 12,BYU
Houston Christian University,357600,Southland,Houston Christian
Iowa State University,186900,Big 12,Iowa State
Kansas State University,192800,Big 12,Kansas State
Northern Arizona University,108200,Big Sky,Northern Arizona
