logo_filename,school,conference,conference_short,official_name,city,state,best_match_name,score,OPEID
349.png,Army,American Athletic,AAC,United States Military Academy,West Point,NY,Colgate University,86,0
2426.png,Navy,American Athletic,AAC,United States Naval Academy,Annapolis,MD,Morgan State University,86,0
194.png,Ohio State,Big Ten,B1G,The Ohio State University,Columbus,OH,Arizona State University Campus Immersion,86,309000
2006.png,Akron,Mid-American,MAC,The University of Akron,Akron,OH,Arizona State University Campus Immersion,86,312300
2005.png,Air Force,Mountain West,MWC,United States Air Force Academy,Colorado Springs,CO,Colorado State University-Fort Collins,86,0
245.png,Texas A&M,SEC,SEC,Texas A&M University,College Station,TX,Arizona State University Campus Immersion,86,363200
167.png,New Mexico,Mountain West,MWC,The University of New Mexico,Albuquerque,NM,University of New Mexico-Main Campus,87,266300
201.png,Oklahoma,SEC,SEC,The University of Oklahoma,Norman,OK,University of Oklahoma-Norman Campus,87,318400
213.png,Penn State,Big Ten,B1G,The Pennsylvania State University,University Park,PA,Pennsylvania State University-Main Campus,89,332900
258.png,Virginia,ACC,ACC,University of Virginia,Charlottesville,VA,University of Virginia-Main Campus,90,374500
2655.png,Tulane,American Athletic,AAC,Tulane University,New Orleans,LA,Tulane University of Louisiana,90,202900
9.png,Arizona State,Big 12,B12,Arizona State University,Tempe,AZ,Arizona State University Campus Immersion,90,108100
2132.png,Cincinnati,Big 12,B12,University of Cincinnati,Cincinnati,OH,University of Cincinnati-Main Campus,90,312500
2509.png,Purdue,Big Ten,B1G,Purdue University,West Lafayette,IN,Purdue University-Main Campus,90,182500
264.png,Washington,Big Ten,B1G,University of Washington,Seattle,WA,University of Washington-Seattle Campus,90,379800
195.png,Ohio,Mid-American,MAC,Ohio University,Athens,OH,Ohio University-Main Campus,90,310000
36.png,Colorado State,Mountain West,MWC,Colorado State University,Fort Collins,CO,Colorado State University-Fort Collins,90,135000
99.png,LSU,SEC,SEC,Louisiana State University,Baton Rouge,LA,Louisiana State University and Agricultural & Mechanical College,90,201000
59.png,Georgia Tech,ACC,ACC,Georgia Institute of Technology,Atlanta,GA,Georgia Institute of Technology-Main Campus,95,156900
152.png,NC State,ACC,ACC,North Carolina State University,Raleigh,NC,North Carolina A & T State University,95,297200
221.png,Pittsburgh,ACC,ACC,University of Pittsburgh,Pittsburgh,PA,Duquesne University,95,337900
12.png,Arizona,Big 12,B12,The University of Arizona,Tucson,AZ,University of Arizona,95,108300
197.png,Oklahoma State,Big 12,B12,Oklahoma State University,Stillwater,OK,Oklahoma State University-Main Campus,95,317000
254.png,Utah,Big 12,B12,The University of Utah,Salt Lake City,UT,University of Utah,95,367500
130.png,Michigan,Big Ten,B1G,University of Michigan,Ann Arbor,MI,University of Michigan-Ann Arbor,95,232500
2623.png,Missouri State,Conference USA,CUSA,Missouri State University,Springfield,MO,Missouri State University-Springfield,95,250300
166.png,New Mexico State,Conference USA,CUSA,New Mexico State University,Las Cruces,NM,New Mexico State University-Main Campus,95,265700
189.png,Bowling Green,Mid-American,MAC,Bowling Green State University,Bowling Green,OH,Bowling Green State University-Main Campus,95,301800
2309.png,Kent State,Mid-American,MAC,Kent State University,Kent,OH,Kent State University at Kent,95,305100
193.png,Miami (OH),Mid-American,MAC,Miami University,Oxford,OH,Miami University-Oxford,95,307700
2649.png,Toledo,Mid-American,MAC,The University of Toledo,Toledo,OH,University of Toledo,95,313100
62.png,Hawai'i,Mountain West,MWC,University of Hawaii at Manoa,Honolulu,HI,University of Hawaii at Manoa,95,161000
142.png,Missouri,SEC,SEC,University of Missouri,Columbia,MO,University of Missouri-Columbia,95,251600
2579.png,South Carolina,SEC,SEC,University of South Carolina,Columbia,SC,University of South Carolina-Columbia,95,344800
2633.png,Tennessee,SEC,SEC,"University of Tennessee, Knoxville",Knoxville,TN,The University of Tennessee-Knoxville,95,353000
2440.png,Nevada,Mountain West,MWC,"University of Nevada, Reno",Reno,NV,University of Nevada-Reno,98,256800
23.png,San Jose State,Mountain West,MWC,San Jose State University,San Jose,CA,San Jose State University,98,115500
2439.png,UNLV,Mountain West,MWC,"University of Nevada, Las Vegas",Las Vegas,NV,University of Nevada-Las Vegas,98,256900
25.png,California,ACC,ACC,"University of California, Berkeley",Berkeley,CA,University of California-Berkeley,99,131200
120.png,Maryland,Big Ten,B1G,"University of Maryland, College Park",College Park,MD,University of Maryland-College Park,99,210300
26.png,UCLA,Big Ten,B1G,"University of California, Los Angeles",Los Angeles,CA,University of California-Los Angeles,99,131500
278.png,Fresno State,Mountain West,MWC,"California State University, Fresno",Fresno,CA,California State University-Fresno,99,114700
103.png,Boston College,ACC,ACC,Boston College,Chestnut Hill,MA,Boston College,100,212800
228.png,Clemson,ACC,ACC,Clemson University,Clemson,SC,Clemson University,100,342500
150.png,Duke,ACC,ACC,Duke University,Durham,NC,Duke University,100,292000
52.png,Florida State,ACC,ACC,Florida State University,Tallahassee,FL,Florida State University,100,148900
97.png,Louisville,ACC,ACC,University of Louisville,Louisville,KY,University of Louisville,100,199900
2390.png,Miami,ACC,ACC,University of Miami,Coral Gables,FL,University of Miami,100,153600
153.png,North Carolina,ACC,ACC,University of North Carolina at Chapel Hill,Chapel Hill,NC,University of North Carolina at Chapel Hill,100,297400
2567.png,SMU,ACC,ACC,Southern Methodist University,Dallas,TX,Southern Methodist University,100,361300
